city,curtime,temp
MSK,11.01,-17
MSK,10.01,-14
MSK,09.01,-13
MSK,08.01,-12
MSK,07.01,-11
MSK,06.01,-14
MSK,05.01,-17
MSK,04.01,-17
MSK,03.01,-14
MSK,02.01,-16
MSK,01.01,-15
SPB,11.01,-15
SPB,10.01,-17
SPB,09.01,-20
SPB,08.01,-22
SPB,07.01,-22
SPB,06.01,-21
SPB,05.01,-18
SPB,04.01,-13
SPB,03.01,-10
SPB,02.01,-14
SPB,01.01,-10
NSK,12.01,-21
NSK,11.01,-21
NSK,10.01,-23
NSK,09.01,-23
NSK,08.01,-14
NSK,07.01,-13
NSK,06.01,-16
NSK,05.01,-21
NSK,04.01,-22
NSK,03.01,-23
NSK,02.01,-24
NSK,01.01,-24
EKB,11.01,-8
EKB,10.01,-14
EKB,09.01,-12
EKB,08.01,-18
EKB,07.01,-23
EKB,06.01,-21
EKB,05.01,-23
EKB,04.01,-21
EKB,03.01,-23
EKB,02.01,-21
EKB,01.01,-22
NN,11.01,-17
NN,10.01,-10
NN,09.01,-8
NN,08.01,-9
NN,07.01,-10
NN,06.01,-16
NN,05.01,-17
NN,04.01,-17
NN,03.01,-17
NN,02.01,-18
NN,01.01,-17
KAZ,11.01,-10
KAZ,10.01,-3
KAZ,09.01,-6
KAZ,08.01,-11
KAZ,07.01,-14
KAZ,06.01,-14
KAZ,05.01,-14
KAZ,04.01,-17
KAZ,03.01,-17
KAZ,02.01,-20
KAZ,01.01,-18
CHE,11.01,-7
CHE,10.01,-13
CHE,09.01,-18
CHE,08.01,-25
CHE,07.01,-24
CHE,06.01,-19
CHE,05.01,-25
CHE,04.01,-21
CHE,03.01,-22
CHE,02.01,-22
CHE,01.01,-24
OMK,12.01,-12
OMK,11.01,-17
OMK,10.01,-23
OMK,09.01,-26
OMK,08.01,-28
OMK,07.01,-25
OMK,06.01,-23
OMK,05.01,-22
OMK,04.01,-23
OMK,03.01,-26
OMK,02.01,-29
OMK,01.01,-31
SAM,11.01,-10
SAM,10.01,-3
SAM,09.01,-6
SAM,08.01,-10
SAM,07.01,-17
SAM,06.01,-16
SAM,05.01,-15
SAM,04.01,-18
SAM,03.01,-15
SAM,02.01,-20
SAM,01.01,-16
UFA,11.01,-6
UFA,10.01,-1
UFA,09.01,-5
UFA,08.01,-14
UFA,07.01,-26
UFA,06.01,-25
UFA,05.01,-17
UFA,04.01,-16
UFA,03.01,-13
UFA,02.01,-26
UFA,01.01,-20
ROS,11.01,-1
ROS,10.01,0
ROS,09.01,-1
ROS,08.01,0
ROS,07.01,-3
ROS,06.01,-5
ROS,05.01,-12
ROS,04.01,-18
ROS,03.01,-15
ROS,02.01,-13
ROS,01.01,-15
KSK,12.01,-28
KSK,11.01,-27
KSK,10.01,-22
KSK,09.01,-27
KSK,08.01,-28
KSK,07.01,-27
KSK,06.01,-25
KSK,05.01,-21
KSK,04.01,-18
KSK,03.01,-23
KSK,02.01,-24
KSK,01.01,-15
PRM,11.01,-4
PRM,10.01,-3
PRM,09.01,-6
PRM,08.01,-17
PRM,07.01,-25
PRM,06.01,-19
PRM,05.01,-20
PRM,04.01,-20
PRM,03.01,-19
PRM,02.01,-21
PRM,01.01,-28
VLG,11.01,-13
VLG,10.01,-7
VLG,09.01,-2
VLG,08.01,-4
VLG,07.01,-5
VLG,06.01,-6
VLG,05.01,-14
VLG,04.01,-17
VLG,03.01,-15
VLG,02.01,-14
VLG,01.01,-13
VRN,11.01,-15
VRN,10.01,-11
VRN,09.01,-1
VRN,08.01,-5
VRN,07.01,-7
VRN,06.01,-11
VRN,05.01,-16
VRN,04.01,-15
VRN,03.01,-18
VRN,02.01,-15
VRN,01.01,-13
SOC,11.01,8
SOC,10.01,6
SOC,09.01,6
SOC,08.01,12
SOC,07.01,11
SOC,06.01,9
SOC,05.01,9
SOC,04.01,0
SOC,03.01,-1
SOC,02.01,-2
SOC,01.01,-1
